obsId obs stdev ODirE ODirN ODirU E N U CODE lon lat
0246 0.0 1.0 0 0 1 -415.56771 -511.24607  0.00000 0246  138.83100  36.99300
0247 0.0 1.0 0 0 1 -472.65074 -522.51955  0.00000 0247  138.19900  36.86500
0263 0.0 1.0 0 0 1 -468.21093 -635.13788  0.00000 0263  138.31600  35.85600
0264 0.0 1.0 0 0 1 -434.54611 -648.98505  0.00000 0264  138.69500  35.74700
0267 0.0 1.0 0 0 1 -469.58448 -544.96668  0.00000 0267  138.24700  36.66500
0268 0.0 1.0 0 0 1 -464.44861 -576.31802  0.00000 0268  138.32300  36.38600
0269 0.0 1.0 0 0 1 -436.39072 -582.22637  0.00000 0269  138.63800  36.34600
0271 0.0 1.0 0 0 1 -475.13360 -595.56570  0.00000 0271  138.21600  36.20800
0272 0.0 1.0 0 0 1 -453.52851 -605.28690  0.00000 0272  138.46100  36.13100
0275 0.0 1.0 0 0 1 -495.19410 -667.08927  0.00000 0275  138.03800  35.55600
0296 0.0 1.0 0 0 1 -454.99278 -732.66866  0.00000 0296  138.51600  34.98600
0297 0.0 1.0 0 0 1 -418.50802 -747.75924  0.00000 0297  138.92200  34.86600
0502 0.0 1.0 0 0 1 -42.56668  321.28155  0.00000 0502  142.96400  44.58200
0503 0.0 1.0 0 0 1  9.26897  280.92506  0.00000 0503  143.61600  44.22000
0504 0.0 1.0 0 0 1 -33.81576  277.89417  0.00000 0504  143.07700  44.19200
0505 0.0 1.0 0 0 1  63.61106  255.55737  0.00000 0505  144.29300  43.98900
0506 0.0 1.0 0 0 1 -74.05909  246.66513  0.00000 0506  142.57800  43.90800
0507 0.0 1.0 0 0 1  49.46533  237.54840  0.00000 0507  144.11500  43.82800
0508 0.0 1.0 0 0 1 -87.80016  228.05279  0.00000 0508  142.41000  43.73900
0509 0.0 1.0 0 0 1 -130.97143  228.98015  0.00000 0509  141.87400  43.74100
0510 0.0 1.0 0 0 1 -48.06308  231.20514  0.00000 0510  142.90300  43.77100
0511 0.0 1.0 0 0 1  6.29001  219.92571  0.00000 0511  143.57800  43.67100
0512 0.0 1.0 0 0 1  142.87534  172.65110  0.00000 0512  145.25900  43.23200
0514 0.0 1.0 0 0 1 -89.60116  183.29785  0.00000 0514  142.39500  43.33600
0515 0.0 1.0 0 0 1  89.07576  180.06882  0.00000 0515  144.59800  43.30700
0516 0.0 1.0 0 0 1 -130.65724  174.18403  0.00000 0516  141.89100  43.24800
0517 0.0 1.0 0 0 1 -214.43336  172.08044  0.00000 0517  140.86100  43.21000
0518 0.0 1.0 0 0 1 -56.10519  164.05275  0.00000 0518  142.81000  43.16600
0519 0.0 1.0 0 0 1  164.17462  169.01815  0.00000 0519  145.52000  43.19500
0520 0.0 1.0 0 0 1 -159.60104  155.90540  0.00000 0520  141.54000  43.07800
0521 0.0 1.0 0 0 1 -26.85006  138.65958  0.00000 0521  143.17100  42.93900
0522 0.0 1.0 0 0 1 -157.07959  134.28576  0.00000 0522  141.57700  42.88400
0523 0.0 1.0 0 0 1 -171.27168  122.28596  0.00000 0523  141.40700  42.77300
0525 0.0 1.0 0 0 1 -224.35898  99.11669  0.00000 0525  140.76800  42.55100
0526 0.0 1.0 0 0 1 -215.75307  90.28423  0.00000 0526  140.87600  42.47400
0527 0.0 1.0 0 0 1 -335.52605  49.02101  0.00000 0527  139.44600  42.06100
0528 0.0 1.0 0 0 1 -234.23257  51.84819  0.00000 0528  140.66700  42.12300
0529 0.0 1.0 0 0 1 -230.78998  35.50206  0.00000 0529  140.71500  41.97700
0530 0.0 1.0 0 0 1 -284.93433  18.10594  0.00000 0530  140.07100  41.80300
0531 0.0 1.0 0 0 1  99.41389  144.21315  0.00000 0531  144.71900  42.98300
0532 0.0 1.0 0 0 1 -15.21176  48.32633  0.00000 0532  143.31600  42.12600
0533 0.0 1.0 0 0 1 -171.55175 -29.73026  0.00000 0533  141.44800  41.40500
0534 0.0 1.0 0 0 1 -252.41152 -51.83245  0.00000 0534  140.49100  41.18500
0535 0.0 1.0 0 0 1 -224.77527 -57.06812  0.00000 0535  140.82200  41.14600
0537 0.0 1.0 0 0 1 -199.60587 -89.35533  0.00000 0537  141.13200  40.86200
0538 0.0 1.0 0 0 1 -245.95550 -105.30274  0.00000 0538  140.58900  40.70600
0539 0.0 1.0 0 0 1 -179.53511 -110.53320  0.00000 0539  141.37600  40.67600
0540 0.0 1.0 0 0 1 -255.56284 -114.09535  0.00000 0540  140.47900  40.62400
0541 0.0 1.0 0 0 1 -228.08266 -112.76250  0.00000 0541  140.80300  40.64400
0542 0.0 1.0 0 0 1 -256.74725 -82.25789  0.00000 0542  140.45200  40.91000
0543 0.0 1.0 0 0 1 -207.93970 -190.12819  0.00000 0543  141.06600  39.95300
0544 0.0 1.0 0 0 1 -235.34228 -256.22815  0.00000 0544  140.76900  39.35100
0546 0.0 1.0 0 0 1 -166.36828 -281.09854  0.00000 0546  141.57500  39.14300
0547 0.0 1.0 0 0 1 -156.71297 -230.99493  0.00000 0547  141.67500  39.59600
0548 0.0 1.0 0 0 1 -231.12470 -345.78551  0.00000 0548  140.84800  38.54600
0549 0.0 1.0 0 0 1 -199.64275 -360.06599  0.00000 0549  141.21300  38.42500
0551 0.0 1.0 0 0 1 -312.21158 -193.47715  0.00000 0551  139.84900  39.89100
0552 0.0 1.0 0 0 1 -295.72517 -201.35937  0.00000 0552  140.04500  39.82600
0553 0.0 1.0 0 0 1 -237.24785 -217.05689  0.00000 0553  140.73300  39.70300
0554 0.0 1.0 0 0 1 -258.48020 -272.38932  0.00000 0554  140.50700  39.19900
0555 0.0 1.0 0 0 1 -309.37925 -290.89764  0.00000 0555  139.92700  39.01600
0556 0.0 1.0 0 0 1 -273.41233 -349.90397  0.00000 0556  140.36500  38.49700
0557 0.0 1.0 0 0 1 -282.96193 -388.36054  0.00000 0557  140.27100  38.14800
0559 0.0 1.0 0 0 1 -290.73756 -447.20952  0.00000 0559  140.20600  37.61600
0560 0.0 1.0 0 0 1 -275.97533 -447.15726  0.00000 0560  140.37300  37.62100
0561 0.0 1.0 0 0 1 -297.67349 -468.18993  0.00000 0561  140.13600  37.42500
0564 0.0 1.0 0 0 1 -354.32443 -395.80413  0.00000 0564  139.46200  38.05600
0565 0.0 1.0 0 0 1 -450.39652 -394.63907  0.00000 0565  138.37000  38.02400
0566 0.0 1.0 0 0 1 -423.56347 -450.40502  0.00000 0566  138.70700  37.53600
0567 0.0 1.0 0 0 1 -441.54966 -470.29462  0.00000 0567  138.51600  37.34900
0568 0.0 1.0 0 0 1 -397.02509 -475.74845  0.00000 0568  139.02000  37.32000
0569 0.0 1.0 0 0 1 -467.54985 -501.41348  0.00000 0569  138.24300  37.05700
0581 0.0 1.0 0 0 1 -268.01553 -544.94979  0.00000 0581  140.49800  36.74300
0583 0.0 1.0 0 0 1 -321.22422 -612.91115  0.00000 0583  139.93100  36.11500
0584 0.0 1.0 0 0 1 -297.13930 -623.09086  0.00000 0584  140.20200  36.03100
0585 0.0 1.0 0 0 1 -296.94765 -520.77530  0.00000 0585  140.16500  36.95200
0586 0.0 1.0 0 0 1 -328.80470 -516.49203  0.00000 0586  139.80600  36.98000
0587 0.0 1.0 0 0 1 -325.39264 -539.29749  0.00000 0587  139.85400  36.77600
0588 0.0 1.0 0 0 1 -298.57660 -549.60711  0.00000 0588  140.15800  36.69200
0589 0.0 1.0 0 0 1 -358.50727 -554.87647  0.00000 0589  139.49100  36.62400
0590 0.0 1.0 0 0 1 -297.27346 -566.31772  0.00000 0590  140.17900  36.54200
0591 0.0 1.0 0 0 1 -439.08807 -552.03428  0.00000 0591  138.59100  36.61600
0592 0.0 1.0 0 0 1 -398.42424 -596.39659  0.00000 0592  139.06700  36.23500
0593 0.0 1.0 0 0 1 -412.84593 -605.96279  0.00000 0593  138.91200  36.14300
0594 0.0 1.0 0 0 1 -372.13931 -761.31449  0.00000 0594  139.43400  34.76200
0597 0.0 1.0 0 0 1 -394.57809 -808.07721  0.00000 0597  139.21100  34.33300
0598 0.0 1.0 0 0 1 -401.74013 -818.11277  0.00000 0598  139.13800  34.24000
0599 0.0 1.0 0 0 1 -363.28905 -835.89999  0.00000 0599  139.56200  34.09400
0600 0.0 1.0 0 0 1 -371.02898 -837.59982  0.00000 0600  139.47900  34.07600
0606 0.0 1.0 0 0 1 -435.52507 -659.73185  0.00000 0606  138.69000  35.65000
0607 0.0 1.0 0 0 1 -405.77512 -676.48438  0.00000 0607  139.02600  35.51200
0610 0.0 1.0 0 0 1 -449.22564 -588.36392  0.00000 0610  138.49900  36.28500
0612 0.0 1.0 0 0 1 -476.41098 -615.76699  0.00000 0612  138.21400  36.02600
0613 0.0 1.0 0 0 1 -443.41832 -623.28043  0.00000 0613  138.58300  35.97400
0620 0.0 1.0 0 0 1 -431.83130 -748.36620  0.00000 0620  138.77700  34.85500
0621 0.0 1.0 0 0 1 -416.24454 -710.26652  0.00000 0621  138.92800  35.20400
0622 0.0 1.0 0 0 1 -495.01705 -764.66712  0.00000 0622  138.09800  34.68000
0623 0.0 1.0 0 0 1 -487.23167 -765.30351  0.00000 0623  138.18300  34.67800
0624 0.0 1.0 0 0 1 -499.77954 -765.97001  0.00000 0624  138.04700  34.66600
0625 0.0 1.0 0 0 1 -489.68590 -769.96194  0.00000 0625  138.15900  34.63500
0626 0.0 1.0 0 0 1 -418.95973 -727.60574  0.00000 0626  138.90700  35.04700
0627 0.0 1.0 0 0 1 -307.31109 -614.63145  0.00000 0627  140.08600  36.10400
0628 0.0 1.0 0 0 1 -417.79249 -766.36620  0.00000 0628  138.93900  34.69900
