Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
209  143.74  40.00   20.075 -188.153  11.461  194.382  6.705   446.158   197 208 83
21  143.28  37.47  -19.181 -468.637  9.927   209.134  5.280   197.135   151 135 73
210  142.75  40.34  -63.348 -150.256  30.642  194.910  17.199  321.501   191 194 192
211  142.42  37.84  -95.215 -426.976  23.443  201.389  13.337  293.802   120 119 101
212  141.76  39.39  -150.094 -254.330  53.049  190.949  26.828  406.180   14 186 212
213  142.74  36.53  -67.791 -572.174  9.002   219.977  5.171   287.139   202 39 148
214  141.69  39.24  -156.264 -270.015  54.763  188.977  26.916  460.709   186 14 184
215  143.19  37.15  -27.305 -504.135  8.962   211.996  5.162   229.250   139 82 81
216  143.83  38.59   28.952 -344.366  8.329   186.651  4.127   194.854   166 160 93
217  142.42  40.35  -91.638 -148.462  40.143  195.130  20.464  370.684   190 192 6
218  140.70  35.82  -253.073 -647.971  47.123  191.161  20.336  569.025   43 45 231
219  142.46  37.64  -91.863 -448.863  20.969  204.435  11.931  179.070   120 114 64
22  142.78  37.83  -63.017 -428.849  17.153  198.793  10.161  322.884   156 113 119
220  143.73  40.18   19.430 -167.996  12.146  195.451  6.731   452.229   208 197 210
221  142.90  38.03  -52.299 -406.606  16.353  194.357  9.088   213.513   158 157 113
222  141.37  38.91  -184.931 -306.563  66.374  188.306  26.702  408.571   17 19 182
223  142.64  38.49  -75.006 -355.232  22.387  189.899  13.532  336.936   153 111 70
224  141.83  38.58  -145.785 -343.719  45.728  190.208  23.230  385.607   56 55 181
225  141.78  39.02  -148.721 -295.550  49.657  186.729  24.441  243.722   183 185 184
226  141.75  36.10  -157.099 -619.414  18.267  190.479  14.931  402.112   229 171 170
227  142.13  38.65  -118.836 -337.226  35.876  190.116  19.963  380.244   154 80 55
228  142.53  37.75  -85.839 -436.464  20.711  197.857  12.006  214.047   120 64 119
229  143.58  37.53   7.384  -461.918  8.252   206.482  3.856   255.997   142 73 32
23  143.65  37.89   13.568 -421.632  8.855   192.099  4.224   207.027   141 140 72
230  143.09  38.83  -35.706 -317.351  15.963  191.869  9.332   339.633   121 110 89
231  142.72  39.53  -67.377 -239.359  25.500  196.692  14.067  356.785   136 108 75
232  141.17  36.28  -208.990 -597.639  36.353  198.813  20.976  336.915   230 172 204
233  142.31  38.22  -104.003 -384.412  28.520  188.450  16.299  359.917   155 149 95
234  142.95  40.52  -46.844 -130.259  27.025  192.569  16.516  265.140   193 194 195
235  142.88  37.44  -54.902 -472.128  13.518  205.125  8.172   293.779   125 102 115
236  143.94  39.12   37.668 -284.768  8.627   187.368  5.063   192.550   165 76 99
237  143.57  40.68   6.329  -112.547  15.815  190.300  10.022  433.039   206 207 221
238  141.44  37.74  -181.292 -436.638  51.476  195.194  25.937  466.767   58 57 175
239  142.22  36.47  -114.812 -579.196  12.633  210.606  7.204   333.726   233 237 203
24  142.26  37.30  -109.829 -486.803  20.952  211.770  12.618  320.045   214 63 86
240  143.11  38.27  -34.112 -379.727  14.398  183.208  7.936   241.520   152 124 143
241  141.58  37.45  -169.862 -469.051  42.043  199.653  24.612  219.985   213 58 88
242  143.90  40.65   33.597 -115.816  11.726  191.901  6.796   364.380   221 196 2
243  143.43  37.89  -6.134  -421.364  10.468  193.890  5.173   164.666   140 90 84
244  141.26  35.71  -202.991 -660.993  29.003  188.575  19.169  408.941   200 219 220
245  143.93  39.77   36.575 -213.392  9.282   186.899  5.282   280.449   100 51 83
246  142.10  37.82  -123.416 -428.585  30.510  200.150  18.084  455.279   101 74 92
247  141.53  36.89  -175.760 -531.062  33.946  203.572  23.150  506.031   222 61 60
248  143.50  39.50  -0.391  -243.752  13.470  182.246  7.800   222.061   162 161 127
249  143.43  37.13  -6.011  -506.016  7.561   210.966  3.704   170.377   81 35 34
25  142.84  37.56  -58.006 -458.160  14.722  202.843  7.936   308.937   156 102 125
250  143.06  38.69  -38.081 -332.621  15.840  191.300  9.329   270.428   118 89 110
251  143.16  38.49  -29.311 -354.890  14.069  188.025  7.861   217.381   143 112 118
252  140.83  36.85  -237.701 -533.692  57.517  213.248  25.943  507.877   226 232 228
253  141.64  37.56  -164.681 -457.069  41.643  199.456  24.620  225.883   213 87 58
254  141.76  35.81  -156.888 -651.082  15.837  198.917  13.737  538.613   217 201 170
255  142.68  39.98  -70.022 -189.879  29.756  195.561  16.971  356.415   209 107 106
256  143.25  39.09  -21.526 -288.758  15.050  196.976  7.749   261.958   163 65 121
257  140.75  36.59  -246.125 -562.785  54.084  202.670  20.483  419.148   198 232 37
258  142.24  37.53  -111.574 -460.666  24.168  206.740  14.032  296.428   214 114 92
259  144.07  39.53   48.822 -239.889  8.058   183.820  4.318   243.193   100 85 13
26  142.76  37.13  -65.600 -506.394  12.510  212.732  7.547   184.487   168 116 146
260  141.56  38.20  -169.849 -386.093  52.145  192.733  23.968  429.318   179 177 103
261  142.72  36.39  -69.630 -588.126  8.201   220.040  5.175   397.415   39 202 41
262  142.59  36.34  -81.395 -593.861  8.767   210.629  5.716   219.917   41 202 235
263  144.14  39.78   55.176 -211.673  7.756   191.753  4.051   126.385   52 11 51
264  141.66  38.79  -160.119 -320.829  53.422  188.485  25.081  326.111   181 183 182
265  141.68  35.96  -164.164 -633.998  18.995  201.801  14.266  382.289   171 217 170
266  143.47  38.98  -2.818  -301.258  12.245  199.773  6.747   186.653   163 122 128
267  143.72  39.22   18.607 -273.919  10.678  188.570  6.455   262.170   165 69 164
268  143.85  39.44   30.511 -250.280  9.679   183.555  5.748   210.601   94 69 85
269  142.77  38.71  -63.878 -330.614  20.774  190.985  12.545  322.232   144 111 110
27  141.16  36.73  -209.232 -548.044  43.939  203.793  22.537  506.993   222 228 223
270  142.80  40.45  -59.070 -137.959  30.189  190.414  17.086  312.460   194 193 192
271  142.18  39.67  -113.215 -223.974  40.374  198.280  21.641  414.362   187 105 188
272  142.38  36.74  -99.865 -549.338  13.326  220.037  7.841   368.665   233 147 138
273  142.50  39.18  -86.395 -278.426  27.963  186.703  14.863  330.876   131 98 77
274  144.06  38.70   48.566 -332.233  7.185   189.207  3.285   133.981   166 21 20
275  142.02  39.58  -127.047 -233.690  44.706  194.485  23.354  346.228   187 212 105
276  141.62  36.39  -168.752 -587.190  24.009  193.900  17.774  620.523   204 229 218
277  142.67  37.74  -73.060 -437.839  18.299  200.703  9.998   255.919   156 119 64
278  141.28  37.97  -195.114 -410.543  61.027  193.399  26.079  364.127   175 177 176
279  140.89  37.01  -231.935 -516.283  59.709  212.039  25.875  636.357   228 227 226
28  143.03  39.71  -39.969 -219.862  20.626  189.327  10.985  367.976   136 109 66
280  141.41  35.78  -188.872 -653.727  24.598  189.665  18.838  398.115   217 219 200
281  142.94  39.06  -48.157 -291.758  19.049  188.410  10.237  369.405   123 97 121
282  142.10  38.79  -121.427 -320.620  37.633  185.984  19.465  370.337   80 54 55
283  142.20  39.83  -111.437 -205.790  41.805  195.734  21.182  362.272   187 188 189
284  140.68  36.79  -251.761 -540.741  60.948  218.897  24.782  486.835   226 37 232
285  140.98  36.71  -225.064 -549.851  49.188  209.509  19.579  343.015   223 228 232
286  142.23  40.14  -108.370 -171.811  44.209  195.185  21.822  372.701   189 190 8
287  142.40  36.48  -98.790 -577.942  11.124  216.433  6.321   311.713   202 233 203
288  141.98  37.08  -135.054 -510.770  23.661  211.999  17.623  359.988   96 63 78
289  143.21  39.50  -25.031 -243.402  17.197  187.969  8.843   317.745   162 109 132
29  142.66  40.54  -71.323 -127.859  34.759  194.324  18.877  279.757   193 4 192
290  143.25  40.41  -21.577 -141.708  20.206  190.557  13.127  485.707   194 205 207
291  144.10  38.94   52.311 -305.231  7.280   189.265  3.892   132.166   76 20 18
292  142.38  39.46  -96.780 -246.851  32.761  195.576  17.659  442.727   108 105 98
293  142.84  37.22  -58.367 -496.352  12.356  208.496  7.579   230.922   146 116 115
294  143.18  40.26  -27.030 -158.794  20.562  195.356  13.131  436.599   205 194 104
295  142.91  39.34  -50.768 -260.808  20.839  197.773  10.993  317.362   132 75 123
296  143.21  40.68  -24.183 -112.622  22.210  190.777  13.640  415.712   207 1 195
297  143.71  37.70   18.878 -443.328  8.064   197.661  3.627   183.192   142 31 72
298  140.74  35.99  -248.595 -629.232  47.022  194.572  20.363  431.329   43 231 169
299  140.94  37.34  -227.003 -480.191  65.429  201.508  24.818  642.249   173 224 227
3  142.73  40.66  -64.715 -114.356  33.652  193.033  18.940  293.083   3 4 193
30  142.09  38.00  -123.449 -408.408  32.412  194.114  17.479  500.124   149 74 101
300  143.07  37.30  -37.827 -487.090  10.729  208.131  6.658   187.180   139 135 115
