%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
212  140.24  35.89  -294.012 -638.896  63.166  192.653  23.369  609.384   132 58 133
213  143.45  39.66  -4.542  -225.032  14.429  187.772  8.868   1318.881  80 70 113
214  140.61  37.98  -254.126 -408.471  91.580  195.649  29.081  339.099   157 177 129
215  143.84  40.54   28.895 -127.676  12.905  181.838  6.872   2371.671  72 52 16
216  141.18  38.35  -202.903 -368.429  69.490  191.982  27.402  389.933   156 93 154
217  140.05  39.82  -295.239 -201.766  140.118  191.323  31.448  3702.317  63 15 18
218  142.93  38.75  -49.957 -325.864  18.261  188.236  10.676  804.795   53 41 85
219  141.92  39.80  -134.856 -208.301  51.177  193.608  24.264  778.060   101 78 79
22  142.34  38.84  -100.818 -316.321  30.962  189.374  17.742  365.032   174 96 34
220  144.07  39.57   48.717 -235.800  8.260   184.977  4.730   1581.876  113 19 17
221  139.38  35.45  -373.733 -685.311  115.594  172.245  44.047  2243.684  64 30 50
222  141.57  39.02  -167.516 -294.501  58.588  186.384  26.678  328.340   171 164 169
223  140.56  35.90  -265.585 -638.712  52.211  192.908  20.272  333.584   193 132 194
224  140.93  36.50  -230.319 -573.414  47.089  201.033  19.891  645.101   200 123 198
225  144.81  42.91   107.072  136.445  49.847  249.184  32.992  1210.759  54 5 160
226  142.61  41.38  -74.193 -33.974  44.774  196.585  21.573  1086.307  147 146 111
227  141.61  38.54  -164.692 -347.626  53.497  191.628  24.689  467.419   168 82 90
228  144.44  43.21   76.322  169.188  79.594  247.794  38.266  1039.983  159 160 3
229  143.09  39.28  -35.276 -267.074  18.101  197.500  9.238   1114.169  119 41 70
23  144.00  42.13   41.602  48.585  23.984  230.639  10.844  1400.260  38 66 152
230  142.63  38.41  -76.181 -363.588  22.691  184.289  13.369  1005.929  85 91 84
231  140.46  40.07  -259.527 -175.214  121.929  191.411  31.387  3713.379  63 48 15
232  139.57  36.91  -349.754 -522.971  119.592  202.109  38.131  2797.975  67 25 59
233  141.06  37.21  -216.925 -494.659  58.570  204.011  25.500  277.036   184 181 185
234  143.01  37.48  -42.905 -467.399  12.471  208.689  7.594   1035.462  116 42 68
235  142.54  39.80  -81.947 -209.611  31.686  200.040  16.996  539.400   102 35 117
236  143.78  39.43   24.332 -251.436  10.646  176.941  6.250   2080.806  113 70 19
237  140.69  38.09  -246.540 -395.898  89.181  192.659  29.644  307.908   157 155 177
238  140.75  41.30  -229.891 -40.281  121.714  196.807  31.645  3486.830  62 57 13
239  143.16  41.59  -28.377 -11.051  32.512  205.244  16.374  1420.361  148 147 55
24  140.33  35.10  -288.631 -727.327  57.340  181.545  20.902  186.787   209 203 208
240  140.90  35.64  -234.943 -668.001  39.709  187.120  18.919  333.005   196 32 195
241  142.18  40.93  -111.188 -84.024  54.231  195.254  23.997  1033.715  107 110 111
242  142.13  40.52  -116.338 -128.768  51.713  192.047  23.358  819.061   104 103 110
243  141.14  36.81  -210.475 -539.520  46.132  205.041  22.783  659.115   142 123 143
244  142.50  36.25  -89.459 -603.072  8.983   216.289  5.499   1769.594  29 27 141
245  140.66  38.23  -249.001 -380.012  92.340  190.718  29.115  349.320   177 155 176
246  139.45  37.40  -358.968 -469.009  139.493  196.246  36.115  3071.708  67 22 25
247  141.47  37.80  -179.073 -430.328  51.219  193.982  25.824  566.106   182 128 88
248  140.61  36.47  -259.146 -575.994  56.186  204.154  20.114  242.798   206 207 198
249  141.04  41.96  -203.785  33.000  123.355  209.032  31.588  2779.596  9 57 76
25  140.14  35.43  -304.655 -689.666  64.525  188.659  22.970  455.274   139 134 137
250  143.90  42.54   32.676  94.715  39.942  247.522  28.578  1057.110  151 149 152
251  139.76  37.66  -329.602 -441.030  127.001  203.398  32.901  3117.718  67 61 22
252  139.91  35.51  -325.155 -680.296  75.246  187.006  28.723  693.499   139 64 134
253  144.83  42.43   109.582  83.027  25.095  266.881  18.862  1206.924  44 54 153
254  141.58  40.07  -163.500 -178.057  68.144  190.821  26.312  941.703   78 109 105
255  141.07  36.37  -217.761 -587.485  40.916  201.781  20.436  571.933   200 144 123
256  140.54  36.57  -264.918 -563.735  60.360  208.271  22.273  350.056   198 190 206
257  140.92  38.22  -225.766 -381.775  79.743  191.643  28.154  328.624   155 87 93
258  143.13  38.39  -31.971 -366.774  14.477  181.751  7.398   949.510   115 53 84
259  142.77  40.92  -61.302 -85.723  35.391  197.138  19.392  1531.148  111 77 39
26  142.35  42.47  -94.246  87.398  88.835  227.259  33.209  2820.123  71 46 40
260  144.98  41.84   123.021  18.101  13.128  238.790  6.199   3053.204  66 12 44
261  143.23  41.31  -22.927 -42.594  27.467  201.558  15.789  1506.531  147 39 55
262  144.25  41.50   62.706 -20.790  15.047  208.484  7.439   3711.841  66 55 14
263  140.28  37.04  -286.440 -511.102  84.328  212.730  27.463  716.492   125 45 126
264  139.83  35.28  -333.403 -705.753  80.884  175.398  34.351  1526.514  64 136 134
265  143.42  43.48  -6.422   199.044  128.835  246.793  39.728  2905.038  36 1 2
266  143.18  38.16  -28.229 -391.696  13.606  190.435  7.873   1033.644  115 84 69
267  141.79  38.00  -150.340 -408.677  41.837  194.984  22.345  627.512   175 89 88
268  139.79  36.02  -333.876 -622.739  86.156  193.735  32.797  1741.991  64 58 59
269  141.69  37.45  -159.996 -468.676  38.613  198.704  21.022  987.445   122 33 128
27  141.47  38.79  -175.943 -319.991  60.894  189.719  26.120  349.065   168 164 83
270  143.14  42.50  -29.719  90.150  59.254  228.603  36.136  1409.325  40 65 149
271  141.82  38.90  -145.975 -308.401  47.942  185.930  23.982  306.108   164 165 92
272  140.48  35.46  -274.312 -687.742  52.474  184.013  20.130  195.592   205 204 137
273  140.68  37.60  -249.196 -449.843  81.447  202.986  28.175  301.149   188 180 179
274  141.38  38.34  -184.921 -369.484  60.719  192.819  25.183  423.831   156 154 82
275  139.81  39.02  -319.230 -289.747  143.334  192.701  31.296  2530.736  60 18 20
276  143.60  37.61   9.178  -453.476  8.423   203.719  4.642   1325.350  116 24 23
277  143.30  37.38  -17.330 -478.714  9.493   206.966  4.549   1005.408  116 68 24
278  142.19  41.70  -109.226  2.025   65.548  204.157  27.542  1633.260  112 146 46
279  140.69  38.57  -244.450 -342.825  93.920  191.907  28.888  378.314   176 173 178
28  140.40  37.93  -272.150 -412.714  100.555  195.751  28.925  559.721   177 61 129
280  140.85  38.09  -232.688 -396.644  81.653  193.180  27.952  275.701   157 87 155
281  141.62  38.72  -163.401 -328.524  54.424  188.008  24.568  413.758   168 90 164
282  142.67  39.08  -72.133 -289.830  24.288  186.447  12.609  768.156   96 41 97
283  141.22  35.67  -206.126 -666.183  30.022  186.847  18.741  521.901   196 138 162
284  142.28  41.38  -102.325 -33.386  56.422  194.674  24.393  1342.660  112 111 146
285  144.79  43.13   104.723  160.988  66.356  251.522  36.182  1272.669  3 160 5
286  140.58  36.26  -262.601 -598.870  54.252  199.171  18.478  192.861   131 207 192
287  143.33  42.70  -13.687  111.609  65.536  239.978  40.110  1293.161  150 40 149
288  140.55  35.13  -268.931 -724.329  49.976  180.063  20.209  199.383   31 202 208
289  141.67  37.82  -161.141 -427.789  43.882  197.648  22.106  609.801   88 128 175
29  142.96  40.39  -45.776 -144.008  26.556  196.751  14.794  1398.686  118 52 77
290  139.33  36.60  -373.145 -557.092  130.173  192.503  42.050  3224.138  59 25 28
291  140.35  40.90  -265.675 -83.532  136.722  192.490  32.648  4091.701  62 13 15
292  143.86  41.84   30.273  16.421  21.806  214.211  9.425   2303.561  66 38 55
293  142.04  37.98  -127.873 -410.821  33.811  196.866  17.557  666.384   175 81 89
294  140.36  36.51  -280.912 -570.897  65.138  204.660  24.139  357.816   206 190 124
295  141.16  38.10  -205.105 -396.179  67.574  192.480  27.524  306.513   87 187 154
296  141.98  39.15  -130.931 -281.543  42.847  186.145  21.395  410.585   92 86 99
297  144.23  42.50   59.814  89.881  32.774  254.222  26.911  898.445   151 152 153
298  142.64  39.46  -74.087 -247.184  26.746  198.100  13.725  671.888   97 119 35
299  141.86  42.31  -135.019  70.477  100.164  222.263  34.655  2328.380  76 46 71
3  142.65  39.98  -72.954 -189.658  30.729  193.001  17.413  653.636   117 118 102
30  140.68  35.17  -256.661 -720.274  45.772  182.271  18.344  317.854   202 31 201
300  142.14  39.92  -116.354 -195.853  45.025  199.462  22.258  685.245   102 78 101
301  144.05  41.16   45.974 -59.283  14.053  220.499  7.693   2890.632  72 14 55
302  142.84  41.18  -55.418 -56.260  36.012  191.794  19.364  1321.713  147 111 39
303  141.94  38.57  -136.257 -345.679  41.792  190.853  21.821  321.581   166 90 167
304  143.67  38.58   14.604 -345.709  9.785   189.256  4.559   1396.802  114 115 21
305  141.08  38.23  -211.497 -381.403  72.445  192.062  27.386  421.119   154 93 87
306  141.53  39.17  -170.182 -278.046  61.031  188.906  27.012  322.439   171 169 100
307  139.60  38.33  -341.242 -365.897  146.690  191.256  31.823  2226.030  73 20 22
308  140.33  38.11  -277.658 -392.418  106.177  193.919  27.826  874.272   177 47 61
